mode,severity,corruption,seed,acc,ece
source,1,gaussian_noise,0,74.34,15.18169687718153
tent,1,gaussian_noise,0,86.659996,8.517231810092927
tent_temp,1,gaussian_noise,0,86.78,4.492640881091356
sicl,1,gaussian_noise,0,86.1,5.463126169443131
cgt_isocal,1,gaussian_noise,0,86.21,7.281829457879066
sicl_isocal,1,gaussian_noise,0,87.5,3.039587274342775
eata,1,gaussian_noise,0,85.13,9.079976923316718
sar,1,gaussian_noise,0,83.950005,8.869149231016635
source,1,gaussian_noise,1,74.34,15.181696138679982
tent,1,gaussian_noise,1,86.34,8.805164681971073
tent_temp,1,gaussian_noise,1,86.42,4.7355951371788985
sicl,1,gaussian_noise,1,86.69,5.0604692909121525
cgt_isocal,1,gaussian_noise,1,87.21,6.191249572634697
sicl_isocal,1,gaussian_noise,1,86.09,3.1909878447651865
eata,1,gaussian_noise,1,84.93,9.295967708677052
sar,1,gaussian_noise,1,83.9,8.885023271143435
source,1,gaussian_noise,2,74.34,15.181696814596652
tent,1,gaussian_noise,2,86.63,8.512536015808584
tent_temp,1,gaussian_noise,2,86.88,4.592322214543819
sicl,1,gaussian_noise,2,86.53,4.969218152314425
cgt_isocal,1,gaussian_noise,2,86.76,6.590200043022633
sicl_isocal,1,gaussian_noise,2,86.13,2.850993505418301
eata,1,gaussian_noise,2,85.06,8.960333905667067
sar,1,gaussian_noise,2,84.38,8.522637134194374
source,1,shot_noise,0,82.880005,9.316004266291857
tent,1,shot_noise,0,88.520004,7.291091098040342
tent_temp,1,shot_noise,0,89.14,3.3609064249694343
sicl,1,shot_noise,0,88.94,4.520311712175608
cgt_isocal,1,shot_noise,0,88.61,5.867336039543152
sicl_isocal,1,shot_noise,0,89.15,2.710364353209734
eata,1,shot_noise,0,87.76,7.135821723639965
sar,1,shot_noise,0,86.53,7.1274717611074445
source,1,shot_noise,1,82.880005,9.316004184037446
tent,1,shot_noise,1,88.840004,6.900753085911274
tent_temp,1,shot_noise,1,88.92,3.392177052497863
sicl,1,shot_noise,1,89.0,4.598593578785658
cgt_isocal,1,shot_noise,1,88.82,5.952240212261677
sicl_isocal,1,shot_noise,1,88.85,2.654220265522599
eata,1,shot_noise,1,87.7,7.178435656726361
sar,1,shot_noise,1,86.659996,7.073222249001265
source,1,shot_noise,2,82.880005,9.315999672561883
tent,1,shot_noise,2,88.950005,6.89603992536664
tent_temp,1,shot_noise,2,88.340004,3.944863268584013
sicl,1,shot_noise,2,89.05,4.554217452704907
cgt_isocal,1,shot_noise,2,88.67,5.967897760868071
sicl_isocal,1,shot_noise,2,88.64,2.185460181832314
eata,1,shot_noise,2,87.72,7.272882477790117
sar,1,shot_noise,2,86.61,7.017116535604001
source,1,impulse_noise,0,82.89,10.375165237039328
tent,1,impulse_noise,0,87.28,8.226174509227276
tent_temp,1,impulse_noise,0,87.43,4.40259041517973
sicl,1,impulse_noise,0,87.26,5.47906329035759
cgt_isocal,1,impulse_noise,0,88.08,6.548766299486161
sicl_isocal,1,impulse_noise,0,87.01,3.533549262881279
eata,1,impulse_noise,0,86.5,7.987923312336206
sar,1,impulse_noise,0,85.149994,8.006210602521897
source,1,impulse_noise,1,82.89,10.375165591090918
tent,1,impulse_noise,1,87.08,8.482316924929618
tent_temp,1,impulse_noise,1,87.72,4.092431586682797
sicl,1,impulse_noise,1,87.6,5.225000543892384
cgt_isocal,1,impulse_noise,1,87.159996,6.757500069439411
sicl_isocal,1,impulse_noise,1,87.52,2.977116000503302
eata,1,impulse_noise,1,86.44,8.176010122299195
sar,1,impulse_noise,1,85.259995,7.8261710143089305
source,1,impulse_noise,2,82.89,10.375165253132582
tent,1,impulse_noise,2,87.85,7.741577471643686
tent_temp,1,impulse_noise,2,87.7,4.041917564719916
sicl,1,impulse_noise,2,87.83,5.48718677073717
cgt_isocal,1,impulse_noise,2,87.5,6.594348227977753
sicl_isocal,1,impulse_noise,2,87.09,3.2653036534786226
eata,1,impulse_noise,2,86.24,8.241294296979904
sar,1,impulse_noise,2,85.09,8.095700392872097
source,1,defocus_blur,0,93.01,3.537267423570156
tent,1,defocus_blur,0,92.52,4.502940291464329
tent_temp,1,defocus_blur,0,92.22,1.9905500620603562
sicl,1,defocus_blur,0,92.28,3.6307798466086396
cgt_isocal,1,defocus_blur,0,92.29,4.644989885687828
sicl_isocal,1,defocus_blur,0,92.11,1.9406712412089113
eata,1,defocus_blur,0,91.84,4.474731149822474
sar,1,defocus_blur,0,91.18,4.377203983664513
source,1,defocus_blur,1,93.01,3.5372673591971395
tent,1,defocus_blur,1,91.939995,4.9820444470644
tent_temp,1,defocus_blur,1,92.2,2.1550581017136574
sicl,1,defocus_blur,1,92.21,3.3012504705786707
cgt_isocal,1,defocus_blur,1,92.2,4.781107501089574
sicl_isocal,1,defocus_blur,1,92.02,1.6570306654274465
eata,1,defocus_blur,1,91.9,4.449121068120003
sar,1,defocus_blur,1,91.259995,4.2572533334791665
source,1,defocus_blur,2,93.01,3.5372673591971395
tent,1,defocus_blur,2,91.93,5.0578545275330535
tent_temp,1,defocus_blur,2,92.009995,2.2423134544491767
sicl,1,defocus_blur,2,91.96,3.439218634068966
cgt_isocal,1,defocus_blur,2,92.4,4.6355884602665895
sicl_isocal,1,defocus_blur,2,92.35,2.1739787267148496
eata,1,defocus_blur,2,91.979996,4.509209017455578
sar,1,defocus_blur,2,91.409996,4.103540300875902
source,1,glass_blur,0,43.059998,41.29343976944685
tent,1,glass_blur,0,75.47,16.821306058764456
tent_temp,1,glass_blur,0,74.6,11.999367890059947
sicl,1,glass_blur,0,75.71,8.604999956935643
cgt_isocal,1,glass_blur,0,75.23,11.295812164247035
sicl_isocal,1,glass_blur,0,75.01,4.272192335724831
eata,1,glass_blur,0,71.89,18.589952044487003
sar,1,glass_blur,0,71.44,17.340117528140546
source,1,glass_blur,1,43.059998,41.29343905210495
tent,1,glass_blur,1,75.24,16.998274435698985
tent_temp,1,glass_blur,1,75.15,11.56035794660449
sicl,1,glass_blur,1,74.45,8.747813381701707
cgt_isocal,1,glass_blur,1,74.73,12.10576826661825
sicl_isocal,1,glass_blur,1,75.3,5.156908260807395
eata,1,glass_blur,1,72.88,17.728016669601203
sar,1,glass_blur,1,71.51,17.07644220471382
source,1,glass_blur,2,43.059998,41.2934390977025
tent,1,glass_blur,2,75.18,16.93722742587328
tent_temp,1,glass_blur,2,75.24,11.363489319533109
sicl,1,glass_blur,2,74.97,8.905469046831131
cgt_isocal,1,glass_blur,2,74.98,11.599605526775122
sicl_isocal,1,glass_blur,2,74.64,5.173335149586202
eata,1,glass_blur,2,72.6,17.881720192134377
sar,1,glass_blur,2,71.55,17.146523246467112
source,1,motion_blur,0,86.78,7.331180550456047
tent,1,motion_blur,0,90.92,5.517295145094395
tent_temp,1,motion_blur,0,90.63,2.6841598469018937
sicl,1,motion_blur,0,90.41,3.6529706546664236
cgt_isocal,1,motion_blur,0,90.5,5.202697520256043
sicl_isocal,1,motion_blur,0,90.8,2.379554725885391
eata,1,motion_blur,0,90.200005,5.436714719682932
sar,1,motion_blur,0,89.420006,5.320994032472372
source,1,motion_blur,1,86.78,7.331180394291878
tent,1,motion_blur,1,90.020004,6.233957307636738
tent_temp,1,motion_blur,1,90.37,2.9030958449840543
sicl,1,motion_blur,1,90.6,4.275311499238015
cgt_isocal,1,motion_blur,1,90.54,5.442419213950634
sicl_isocal,1,motion_blur,1,90.43,2.6166751806437967
eata,1,motion_blur,1,90.240005,5.499577371776104
sar,1,motion_blur,1,89.490005,5.218585933595896
source,1,motion_blur,2,86.78,7.331180361509324
tent,1,motion_blur,2,90.68,5.742897972762584
tent_temp,1,motion_blur,2,90.36,2.907999258637428
sicl,1,motion_blur,2,90.05,4.215938052237034
cgt_isocal,1,motion_blur,2,90.95,4.977660228908062
